Player,Team,Age,"Total
Value",Avg./Year,"Total
Guaranteed","Fully
Guaranteed","Free
Agency"
Dak Prescott,Cowboys,32,"$240,000,000","$60,000,000","$231,000,000","$129,000,000",2029 Void
Joe Burrow,Bengals,29,"$275,000,000","$55,000,000","$219,010,000","$146,510,000",2030 Void
Jordan Love,Packers,27,"$220,000,000","$55,000,000","$160,300,000","$100,800,000",2029 Void
Trevor Lawrence,Jaguars,26,"$275,000,000","$55,000,000","$200,000,000","$142,000,000",2031 Void
Tua Tagovailoa,Dolphins,27,"$212,400,000","$53,100,000","$167,171,000","$93,171,000",2029 Void
Jared Goff,Lions,31,"$212,000,000","$53,000,000","$170,611,832","$113,611,832",2029 Void
Justin Herbert,Chargers,27,"$262,500,000","$52,500,000","$193,738,375","$133,738,375",2030 UFA
Lamar Jackson,Ravens,28,"$260,000,000","$52,000,000","$185,000,000","$135,000,000",2028 Void
Jalen Hurts,Eagles,27,"$255,000,000","$51,000,000","$179,304,000","$110,000,000",2029 Void
Kyler Murray,Cardinals,28,"$230,500,000","$46,100,000","$160,000,000","$103,300,000",2029 UFA
Deshaun Watson,Browns,30,"$230,000,000","$46,000,000","$230,000,000","$230,000,000",2028 Void
Kirk Cousins,Falcons,37,"$180,000,000","$45,000,000","$100,000,000","$90,000,000",2028 UFA
Patrick Mahomes,Chiefs,30,"$450,000,000","$45,000,000","$141,000,000","$63,081,905",2032 Void
Josh Allen,Bills,29,"$258,000,000","$43,000,000","$150,000,000","$100,000,000",2029 UFA
Matt Stafford,Rams,37,"$160,000,000","$40,000,000","$135,000,000","$63,000,000",2027 UFA
Aaron Rodgers,Jets,42,"$112,500,000","$37,500,000","$75,000,000","$75,000,000",2026 Void
Derek Carr,Saints,34,"$150,000,000","$37,500,000","$100,000,000","$60,000,000",2027 Void
Baker Mayfield,Buccaneers,30,"$100,000,000","$33,333,333","$50,000,000","$40,000,000",2027 Void
Geno Smith,Seahawks,35,"$75,000,000","$25,000,000","$40,000,000","$27,300,000",2026 UFA
Gardner Minshew,Raiders,29,"$25,000,000","$12,500,000","$15,000,000","$15,000,000",2026 Void
Sam Darnold,Vikings,28,"$10,000,000","$10,000,000","$8,750,000","$8,750,000",2025 Void
Caleb Williams,Bears,24,"$39,486,058","$9,871,515","$39,486,058","$39,486,058",2028 UFA
Bryce Young,Panthers,24,"$37,955,074","$9,488,769","$37,955,074","$37,955,074",2027 UFA
Jayden Daniels,Commanders,25,"$37,746,650","$9,436,663","$37,746,650","$37,746,650",2028 UFA
Drake Maye,Patriots,23,"$36,639,764","$9,159,941","$36,639,764","$36,639,764",2028 UFA
C.J. Stroud,Texans,24,"$36,279,246","$9,069,812","$36,279,246","$36,279,246",2027 UFA
Zach Wilson,Broncos,26,"$35,150,680","$8,787,695","$35,150,680","$35,150,680",2025 UFA
Trey Lance,Cowboys,25,"$34,105,258","$8,526,315","$34,105,258","$34,105,258",2025 UFA
Anthony Richardson,Colts,24,"$33,994,030","$8,498,508","$33,994,030","$33,994,030",2027 UFA
Jacoby Brissett,Patriots,33,"$8,000,000","$8,000,000","$6,500,000","$6,500,000",2025 UFA
Tyrod Taylor,Jets,36,"$12,000,000","$6,000,000","$8,500,000","$8,500,000",2026 Void
Marcus Mariota,Commanders,32,"$6,000,000","$6,000,000","$5,390,000","$5,390,000",2025 UFA
Michael Penix Jr.,Falcons,25,"$22,882,636","$5,720,659","$22,882,636","$22,882,636",2028 UFA
J.J. McCarthy,Vikings,22,"$21,854,796","$5,463,699","$21,854,796","$21,854,796",2028 UFA
Jarrett Stidham,Broncos,29,"$10,000,000","$5,000,000","$5,000,000","$5,000,000",2025 UFA
Drew Lock,Giants,29,"$5,000,000","$5,000,000","$4,950,000","$4,950,000",2025 UFA
Andy Dalton,Panthers,38,"$10,000,000","$5,000,000","$8,000,000","$8,000,000",2025 Void
Justin Fields,Steelers,26,"$18,871,952","$4,717,988","$18,871,952","$18,871,952",2025 UFA
Bo Nix,Broncos,25,"$18,613,166","$4,653,292","$18,613,166","$18,613,166",2028 UFA
Joe Flacco,Colts,40,"$4,500,000","$4,500,000","$4,500,000","$4,500,000",2025 UFA
Davis Mills,Texans,27,"$8,116,000","$4,058,000","$6,316,000","$6,316,000",2026 UFA
Jameis Winston,Browns,31,"$4,000,000","$4,000,000","$4,000,000","$4,000,000",2025 Void
Mac Jones,Jaguars,27,"$15,586,340","$3,896,585","$15,586,340","$15,586,340",2025 UFA
Kenny Pickett,Eagles,27,"$14,067,904","$3,516,976","$14,067,904","$14,067,904",2026 UFA
Jimmy Garoppolo,Rams,34,"$3,178,750","$3,178,750","$3,178,750","$3,178,750",2025 UFA
Case Keenum,Texans,37,"$6,250,000","$3,125,000","$4,000,000","$4,000,000",2025 UFA
Mason Rudolph,Titans,30,"$2,870,000","$2,870,000","$2,700,000","$2,700,000",2025 UFA
Easton Stick,Chargers,30,"$2,667,500","$2,667,500","$1,417,500","$1,414,700",2025 UFA
Mitchell Trubisky,Bills,31,"$5,250,000","$2,625,000","$3,710,000","$2,710,000",2026 UFA
Taylor Heinicke,Chargers,32,"$2,530,000","$2,530,000","$1,320,000","$1,320,000",2025 UFA
Cooper Rush,Cowboys,32,"$5,000,000","$2,500,000","$2,750,000","$2,750,000",2025 UFA
Carson Wentz,Chiefs,33,"$2,500,000","$2,500,000","$2,200,000","$2,200,000",2025 UFA
Will Levis,Titans,26,"$9,542,162","$2,385,541","$8,730,957","$8,730,957",2027 UFA
Joshua Dobbs,49ers,30,"$2,250,000","$2,250,000","$2,250,000","$2,250,000",2025 UFA
Brandon Allen,49ers,33,"$2,020,000","$2,020,000","$700,000","$700,000",2025 UFA
Nick Mullens,Vikings,30,"$1,900,000","$1,900,000",$0,$0,2025 UFA
Hendon Hooker,Lions,27,"$5,719,028","$1,429,757","$1,159,292","$1,159,292",2027 UFA
Kyle Trask,Buccaneers,27,"$5,535,336","$1,383,834","$2,957,306","$2,957,306",2025 UFA
Josh Johnson,Ravens,39,"$1,377,500","$1,377,500","$1,152,500","$1,152,500",2025 UFA
C.J. Beathard,Jaguars,32,"$1,310,000","$1,310,000","$100,000","$100,000",2025 UFA
Kyle Allen,Steelers,29,"$1,292,500","$1,292,500","$167,500","$167,500",2025 UFA
Malik Willis,Packers,26,"$5,160,100","$1,290,025","$932,800","$932,800",2026 UFA
Russell Wilson,Steelers,37,"$1,210,000","$1,210,000","$1,210,000","$1,210,000",2025 UFA
Teddy Bridgewater,Lions,33,"$1,210,000","$1,210,000",$0,$0,2025 UFA
Brett Rypien,Vikings,29,"$1,195,000","$1,195,000",$0,$0,2026 UFA
Will Grier,Cowboys,30,"$1,170,000","$1,170,000",$0,$0,2026 UFA
Mike White,Bills,30,"$2,320,000","$1,160,000",$0,$0,2026 UFA
Jeff Driskel,Commanders,32,"$1,150,000","$1,150,000","$150,000","$150,000",2025 UFA
Michael Pratt,Buccaneers,24,"$2,285,000","$1,142,500","$250,000","$25,000",2027 ERFA
Jake Haener,Saints,26,"$4,544,812","$1,136,203","$704,812","$704,812",2027 UFA
Stetson Bennett,Rams,28,"$4,539,132","$1,134,783","$699,132","$699,132",2027 RFA
Tim Boyle,Giants,31,"$1,125,000","$1,125,000",$0,$0,2025 UFA
Daniel Jones,Vikings,28,"$1,125,000","$1,125,000",$0,$0,2025 UFA
Tyler Huntley,Dolphins,27,"$1,125,000","$1,125,000",$0,$0,2025 UFA
Skylar Thompson,Steelers,28,"$1,100,000","$1,100,000",$0,$0,2026 UFA
Spencer Rattler,Saints,25,"$4,356,480","$1,089,120","$336,480","$336,480",2028 UFA
Aidan O'Connell,Raiders,27,"$4,349,380","$1,087,345","$509,380","$509,380",2027 UFA
Jordan Travis,Jets,25,"$4,274,276","$1,068,569","$254,276","$254,276",2028 RFA
Joe Milton III,Patriots,25,"$4,203,316","$1,050,829","$183,316","$183,316",2028 UFA
Clayton Tune,Cardinals,26,"$4,190,624","$1,047,656","$350,624","$350,624",2027 UFA
