,team,coach,year,num_games_coached
0,ATL,Dan Reeves,1999,16
1,BAL,Brian Billick,1999,16
2,BUF,Wade Phillips,1999,16
3,CAR,George Seifert,1999,16
4,CHI,Dick Jauron,1999,16
5,CIN,Bruce Coslet,1999,16
6,CLE,Chris Palmer,1999,16
7,DAL,Chan Gailey,1999,16
8,DEN,Mike Shanahan,1999,16
9,DET,Bobby Ross,1999,16
10,GNB,Ray Rhodes,1999,16
11,IND,Jim Mora,1999,16
12,JAX,Tom Coughlin,1999,16
13,KAN,Gunther Cunningham,1999,16
14,MIA,Jimmy Johnson,1999,16
15,MIN,Dennis Green,1999,16
16,NOR,Mike Ditka,1999,16
17,NWE,Pete Carroll,1999,16
18,NYG,Jim Fassel,1999,16
19,NYJ,Bill Parcells,1999,16
20,OAK,Jon Gruden,1999,16
21,PHI,Andy Reid,1999,16
22,PIT,Bill Cowher,1999,16
23,SDG,Mike Riley,1999,16
24,SEA,Mike Holmgren,1999,16
25,SFO,Steve Mariucci,1999,16
26,STL,Dick Vermeil,1999,16
27,TAM,Tony Dungy,1999,16
28,TEN,Jeff Fisher,1999,16
29,WAS,Norv Turner,1999,16
0,ARI,Dave McGinnis,2000,9
1,ATL,Dan Reeves,2000,16
2,BAL,Brian Billick,2000,16
3,BUF,Wade Phillips,2000,16
4,CAR,George Seifert,2000,16
5,CHI,Dick Jauron,2000,16
6,CIN,Dick LeBeau,2000,13
7,CLE,Chris Palmer,2000,16
8,DAL,Dave Campo,2000,16
9,DEN,Mike Shanahan,2000,16
10,DET,Bobby Ross,2000,9
11,GNB,Mike Sherman,2000,16
12,IND,Jim Mora,2000,16
13,JAX,Tom Coughlin,2000,16
14,KAN,Gunther Cunningham,2000,16
15,MIA,Dave Wannstedt,2000,16
16,MIN,Dennis Green,2000,16
17,NOR,Jim Haslett,2000,16
18,NWE,Bill Belichick,2000,16
19,NYG,Jim Fassel,2000,16
20,NYJ,Al Groh,2000,16
21,OAK,Jon Gruden,2000,16
22,PHI,Andy Reid,2000,16
23,PIT,Bill Cowher,2000,16
24,SDG,Mike Riley,2000,16
25,SEA,Mike Holmgren,2000,16
26,SFO,Steve Mariucci,2000,16
27,STL,Mike Martz,2000,16
28,TAM,Tony Dungy,2000,16
29,TEN,Jeff Fisher,2000,16
30,WAS,Norv Turner,2000,13
0,ATL,Dan Reeves,2001,16
1,BAL,Brian Billick,2001,16
2,BUF,Gregg Williams,2001,16
3,CAR,George Seifert,2001,16
4,CHI,Dick Jauron,2001,16
5,CIN,Dick LeBeau,2001,16
6,CLE,Butch Davis,2001,16
7,DAL,Dave Campo,2001,16
8,DEN,Mike Shanahan,2001,16
9,DET,Marty Mornhinweg,2001,16
10,GNB,Mike Sherman,2001,16
11,IND,Jim Mora,2001,16
12,JAX,Tom Coughlin,2001,16
13,KAN,Dick Vermeil,2001,16
14,MIA,Dave Wannstedt,2001,16
15,MIN,Dennis Green,2001,15
16,NOR,Jim Haslett,2001,16
17,NWE,Bill Belichick,2001,16
18,NYG,Jim Fassel,2001,16
19,NYJ,Herm Edwards,2001,16
20,OAK,Jon Gruden,2001,16
21,PHI,Andy Reid,2001,16
22,PIT,Bill Cowher,2001,16
23,SDG,Mike Riley,2001,16
24,SEA,Mike Holmgren,2001,16
25,SFO,Steve Mariucci,2001,16
26,STL,Mike Martz,2001,16
27,TAM,Tony Dungy,2001,16
28,TEN,Jeff Fisher,2001,16
29,WAS,Marty Schottenheimer,2001,16
0,ATL,Dan Reeves,2002,16
1,BAL,Brian Billick,2002,16
2,BUF,Gregg Williams,2002,16
3,CAR,John Fox,2002,16
4,CHI,Dick Jauron,2002,16
5,CIN,Dick LeBeau,2002,16
6,CLE,Butch Davis,2002,16
7,DAL,Dave Campo,2002,16
8,DEN,Mike Shanahan,2002,16
9,DET,Marty Mornhinweg,2002,16
